;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;;
6053;25661;248930;307054678;248928;25106701;04.10.2015 10:28;да всё там ясно,,, если по больнице или по свадьбе,, это пиндосы;11;;;И4, Л4;1
6054;25662;248931;249651749;248928;25106701;04.10.2015 10:28;http://vk.com/photo-25106701_381649689;3;;; - ; - 
6055;25663;248932;284801593;248928;25106701;04.10.2015 10:36;Путин заявил что не надо делить террористов на плохих и хороших. Я до сих пор не понимаю как можно за год после создания пиндосовской коалиции не получить никаких результатов...;3;;;ч4;1
6056;25664;248933;223034241;248928;25106701;04.10.2015 10:37;[id284801593|Кирилл], само собой, ты же  никаких  пишешь как  не каких ...;3;;;Н3;3
6057;25665;248934;4629227;248928;25106701;04.10.2015 10:43;Янки гоу хоум;0;;;Ц4;3
6058;25666;248935;261896834;248928;25106701;04.10.2015 10:47;Коалиция не хочет,что бы были какие либо результаты,видимо,цель-поддержка хаоса!;7;;;т4;2
6059;25667;248936;269583392;248928;25106701;04.10.2015 10:47;Хочеться поинтересоваться у сего бумагамарателя и  родителя сего...опуса. Скажите,а когда вы будете стоять на коленях перед видиокамерой,в оранжевой униформе,для вас будет большой разницей,какой утырок-террарист вам,как барану башку снимет- умеренный  или  закоренелый ...вам не всё равно?;4;;;Ц2, Н2;3
6060;25668;248937;19292783;248928;25106701;04.10.2015 10:59;Как известный журналист ведущего издания исключительного и демократического Запада, испросив разрешения в редакции, позвонил в Генштаб МО России с вопросом:<br>— Как Вы различаете при бомбежках в Сирии, обычных террористов от умеренных?<br>Девушка переключила меня на дежурного офицера, который очень вежливо объяснил:<br>— Еще до начала военной операции в Сирии, в Генштабе МО РФ было принято ответственное решение. Суть этого решения заключается в нашем традиционном для России стремлении, строго соблюдать принципы законности и справедливости. Поэтому теперь, все наши боеприпасы делятся на две категории: обычные и умеренные. Против обычных террористов, мы используем исключительно обычные боеприпасы. А против террористов умеренных, мы используем боеприпасы исключительно умеренные. Так что можете не волноваться, умеренность некоторых из террористов мы учитываем и поступаем с ними по справедливости.<br>После этих слов, мне стало значительно легче. Но я все–таки уточнил:<br>— Вы действительно используете против умеренных террористов исключительно умеренные боеприпасы, это правда?!<br>Собеседник ответил:<br>— Слово русского офицера!<br>Мне стало совсем хорошо. Чтобы внести окончательную ясность, я спросил:<br>— Скажите, а насколько ваши обычные боеприпасы, отличаются от умеренных?<br>— Наши обычные боеприпасы отличаются от боеприпасов умеренных, ровно на столько же, насколько обычные террористы в Сирии, отличаются от террористов умеренных: они покрашены другой краской, в более светлых и более умеренных тонах — ответил офицер и повесил трубку. ))));26;;;Ж4, Ш4;1
6061;25669;248938;305929871;248928;25106701;04.10.2015 11:00;Мирошниченко,заканчивай бухать,у тебя уже колпак рвет по черному.;0;;;Н3;4
6062;25670;248939;60141865;248928;25106701;04.10.2015 11:03;Я удивляюсь: Государство Сирия борется с чумой, которая захватила 70% страны и кто то задает вопросы как мы им помогаем? Да радуйтесь, что вам вообще что-то рассказываем. Это внутренняя проблема страны + наша, так как оказываем военную помощь.;4;;;е1,ч4;1
6063;25671;248940;22229939;248928;25106701;04.10.2015 11:07;Бороться с ИГИЛ бесполезно. Лидеров вооружают и подготавливают демократичные американцы. Убрать ИГИЛ, появится ИГИЛ плюс. Слава демократии.;0;;;с4;2
6064;25672;248941;4226652;248928;25106701;04.10.2015 11:17;Может в картографах дело? )));0;;;Ш4;0
6065;25673;248942;3795470;248928;25106701;04.10.2015 11:18;[id22229939|Виктор], почему? показать всем, что бывает с теми, кто дружит с США так - наглядно показать... идиотов сильно поубавится;0;;;ц4;2
6066;25674;248943;104567037;248928;25106701;04.10.2015 11:29;Не знаю, где вы там увидели террористов, но по-моему там ополченцы. Обычные мусульманские ополченцы к которым примкнул ИГИЛ и прочая нечисть. Зачем всех под одну гребенку-то грести?;1;;;Ж3, И3;2
6067;25675;248944;22229939;248928;25106701;04.10.2015 11:38;[id3795470|Сергей], я предполагаю что у командиров ИГИЛ не равноценная дружба с Маккейном (или кто там еще) а находятся они в статусе подчиненного. Разбомбят этих, Маккейн наймет новых. Неудивительно что коалиция стран НАТО, обладая огромным материально -техническим превосходством ничего не могла (не хотела) сделать в этом регионе. Наглядно мы конечно показать можем и наверняка покажем, вот только положение там бедственное и наверняка служба в армии является одним из немногих способов дохода обыкновенного сирийца. Придется таким пополнять поредевшую армию  идиотов , увы.;0;;;Е1, И4;3
6068;25676;248946;3795470;248928;25106701;04.10.2015 11:39;[id22229939|Виктор], а для этого надо  режим  Асада укрепить - будет у людей работа - все будет норм;0;;;И3;2
6069;25677;248947;22229939;248928;25106701;04.10.2015 11:41;[id3795470|Сергей], может быть, хотя страны этого региона уже давно кипящий котел междоусобиц, голода и разрухи. Англосаксы могут еще кого на Асада натравить. Впрочем посмотрим ??;0;;;в3,с3;2
6070;25678;248949;304074489;248928;25106701;04.10.2015 11:43;сша уже несколько лет там бомбят а россия раз два и .......;1;;;и4;0
6071;25679;248950;1573272;248928;25106701;04.10.2015 11:44;Первым делом помогаем Башарику выровнять фронт, чего тут не понятного? А как иначе организовать эффективную наземную операцию? И как её проводить если на пути  умеренные ?;1;;;Ж4;0
6072;25680;248952;309443528;248928;25106701;04.10.2015 12:08;Что такое умеренная оппозиция?Которая в случае прихода к власти пощадит Асада или даст ему убежать?Которая в случае победы будет строить западную демократию в мусульманской стране?Кто-будь знает успешную демократию в исламской стране?;0;;;А4;2
6073;25681;248953;256892362;248928;25106701;04.10.2015 12:10;Да ватники скажут, Вы все врете, в сирии нету наших)))));0;;;Ц4;2
6074;25682;248954;249127709;248928;25106701;04.10.2015 12:12;[id256892362|Мерей], нету инфа 100 процентов пердаки ИГИЛ взрываются сами;2;;;Ц4;2
6075;25683;248955;104567037;248928;25106701;04.10.2015 12:36;[id3795470|Сергей], это именно режим Асада, без кавычек! Отец его правил, потом сына своего впихнул, который уже несколько сроков сидит... Это режим! Это царизм или вождизм какой-то. Лично я ненавижу всяких царьков, вождей и прочих подобных тварей.;0;;;И4, Е1;3
6076;25684;248956;104567037;248928;25106701;04.10.2015 12:39;[id309443528|Анатолий], это не значит, что к демократии не надо стремиться. Лично по мне, так пожизненная власть куда хуже.;0;;;б3,ч4;3
6077;25685;248958;309443528;248928;25106701;04.10.2015 13:03;[id104567037|Михаил], сменяемость власти не ведет к демократии автоматически.Пример Украины это показывает.Есть примеры когда диктатура приводила к демократическим реформам.;0;;;Ж3;4
6078;25686;248959;3795470;248928;25106701;04.10.2015 13:09;[id104567037|Михаил], вот именно - лично вы. Ненавидьте кого хотите. А мне вот кажется, что пофиг, кто там у власти - лишь бы дело делал. А насчет Асад/неАсад - тоже пофиг, лишь бы России профит был. Да здравствует взвешенный прагматизм!;0;;;Ж4;2
6079;25687;248960;104567037;248928;25106701;04.10.2015 14:12;[id3795470|Сергей], а если прагматизм подскажет вам, что выгодно сотрудничать с фашистами, например, вы тоже это будете делать? ))) Прагматизм всегда хорош, когда вы получаете выгоду, когда же прагматизм с другой стороны приводит к вашему проигрышу вы начнете говорить иначе. Всеобщий прагматизм это заведомо тупиковый путь, так как он не решает проблем, а только их порождает и консервирует. Таким образом, очень важно называть вещи своими именами, даже если это не выгодно нам в данный момент.;0;;;Ш3, П3;4
6080;25688;248961;104567037;248928;25106701;04.10.2015 14:19;[id309443528|Анатолий], а несменяемость власти вообще ни к чему не ведет и не приведет в принципе. Лучше плохая сменяемость чем пожизненное однообразие и передача власти по наследству, а не по способностям.;0;;;ж3,ч4;4
6081;25689;248962;104567037;248928;25106701;04.10.2015 14:27;[id3795470|Сергей], имейте ввиду, что фашистские коллаборационисты, которые помогали расстреливать наших людей тоже были почти все прагматиками, как и вы. Очевидно же, что сотрудничать с фашистами выгодней того, чтобы вас расстреляли? Так вы считаете? Вы же о своей выгоде думаете, верно? );0;;;П3;4
6082;25690;248963;383981;248928;25106701;04.10.2015 14:27;[id104567037|Михаил], да ладно. Вспомните, к примеру, Екатерину Великую...;0;;;Ж4;4
6083;25691;248964;37372161;248928;25106701;04.10.2015 14:34;[id104567037|Михаил], пока прагматизм подсказывает сотрудничать да и создавать фашистов именно американцам. Не уверен с Гитлером, но пример Украины прямо режет глаз. Фарион до сих пор призывает. Я не понимаю почему раньше не начали бороться с охохлачиванием Украины, но могу сказать одно как минимум половина людей на Украине - наши - русские. Убедился сам лично, был на Украине до майдана. Второй половине основательно засрали мозги. Это скоро пройдет.;0;;;И3, Е1;4
6084;25692;248965;104567037;248928;25106701;04.10.2015 14:39;[id383981|Ольга], я еще раз повторю, государство где есть сменяемость власти всегда более устойчиво в долгосрочной перспективе чем то, где власть передается по наследству и пожизненная. Так как любой человек может внезапно слететь с катушек, даже такие как Петр Первый и Екатерина Великая и в этом случае вся страна становиться заложником одного шизоида. Власть должна меняться!!!;0;;;ч4,р4;4
6085;25693;248966;104567037;248928;25106701;04.10.2015 14:44;[id37372161|Владимир], мне плевать на американцев. Для меня важно не уподобляться американцам и фашистским коллаборационистам и не говорить хорошо, когда я вижу зло. Любой режим это зло и режим семьи Асадов в том числе, даже если он наш союзник.;0;;;К1, Ж3;4
6086;25694;248967;37372161;248928;25106701;04.10.2015 14:50;Хорошо бы сначала выиграть в очень сложной и многомерной игре. А потом плевать на американцев. Ну с чего Вы взяли что любой режим зло? И с чего Вы взяли что например в США власть регулярно меняется? Из сказки для наивных дурачков что США управляются президентом? Как был там центр принятия решений в ФРС, так и есть. А воставших президентов убивают пулями из льда...;0;;;И3, Ж3;4
6087;25695;248968;104567037;248928;25106701;04.10.2015 14:58;[id37372161|Владимир], для меня важно, что я не изменяю своему чувству справедливости, у меня в голове все точки стоят над и. С этой позиции я могу уверенно обвинять кого-то в двойных стандартах, но меня при этом уже никто в этом не обвинит.;0;;;Е1;4
6088;25696;248971;37372161;248928;25106701;04.10.2015 15:23;[id104567037|Михаил], это можно описать в одной фразе  я за все хорошее, против всей х..ни . Позиция  я могу обвинять, а меня не могут  - ну как бы это проще, детская, не подходящая для человека взрослого, здравого. Особенно когда речь идет о войне, политике, жизнях многих людей...;0;;;П3;4
